Year.Month,DenmarkBirths
1942M02,6108
1942M03,7139
1942M04,6958
1942M05,7232
1942M06,6727
1942M07,6730
1942M08,7016
1942M09,6844
1942M10,6435
1942M11,6126
1942M12,6344
1943M01,6573
1943M02,6414
1943M03,7535
1943M04,7580
1943M05,7609
1943M06,6736
1943M07,7258
1943M08,7170
1943M09,7050
1943M10,6790
1943M11,6544
1943M12,7060
1944M01,7426
1944M02,7293
1944M03,8292
1944M04,8065
1944M05,7859
1944M06,7342
1944M07,7582
1944M08,7674
1944M09,7530
1944M10,7117
1944M11,7108
1944M12,7353
1945M01,7848
1945M02,7518
1945M03,8734
1945M04,8539
1945M05,8551
1945M06,7610
1945M07,8019
1945M08,7952
1945M09,7800
1945M10,7602
1945M11,7291
1945M12,7598
1946M01,7841
1946M02,8125
1946M03,9349
1946M04,8725
1946M05,9086
1946M06,7997
1946M07,8054
1946M08,7658
1946M09,7681
1946M10,7557
1946M11,6955
1946M12,7083
1947M01,7801
1947M02,7664
1947M03,8877
1947M04,8459
1947M05,8670
1947M06,7738
1947M07,7643
1947M08,7466
1947M09,7173
1947M10,6908
1947M11,6512
1947M12,6803
1948M01,7217
1948M02,7113
1948M03,8083
1948M04,7653
1948M05,7685
1948M06,7019
1948M07,7181
1948M08,6784
1948M09,6819
1948M10,6562
1948M11,6324
1948M12,6498
1949M01,6765
1949M02,6514
1949M03,7499
1949M04,7285
1949M05,7124
1949M06,6746
1949M07,6561
1949M08,6556
1949M09,6388
1949M10,6276
1949M11,5999
1949M12,6206
1950M01,6750
1950M02,6494
1950M03,7692
1950M04,7266
1950M05,7234
1950M06,6620
1950M07,6523
1950M08,6324
1950M09,6322
1950M10,6214
1950M11,5965
1950M12,6154
1951M01,6504
1951M02,6408
1951M03,7245
1951M04,6861
1951M05,6934
1951M06,6389
1951M07,6185
1951M08,6045
1951M09,5854
1951M10,5849
1951M11,6179
1951M12,6106
1952M01,6254
1952M02,6259
1952M03,7071
1952M04,7070
1952M05,6722
1952M06,6161
1952M07,6256
1952M08,6062
1952M09,6298
1952M10,6331
1952M11,6171
1952M12,6288
1953M01,6634
1953M02,6346
1953M03,7449
1953M04,7237
1953M05,7028
1953M06,6543
1953M07,6449
1953M08,6369
1953M09,6297
1953M10,5989
1953M11,5621
1953M12,6299
1954M01,6357
1954M02,6266
1954M03,7126
1954M04,6707
1954M05,6891
1954M06,6436
1954M07,6276
1954M08,6079
1954M09,6349
1954M10,6106
1954M11,5832
1954M12,5940
1955M01,6200
1955M02,6178
1955M03,7151
1955M04,7048
1955M05,6783
1955M06,6423
1955M07,6412
1955M08,6271
1955M09,6177
1955M10,6273
1955M11,5755
1955M12,6174
1956M01,6211
1956M02,6268
1956M03,7218
1956M04,6909
1956M05,6841
1956M06,6113
1956M07,6487
1956M08,6484
1956M09,6137
1956M10,6080
1956M11,5940
1956M12,6037
1957M01,6301
1957M02,6008
1957M03,6831
1957M04,6685
1957M05,6729
1957M06,6451
1957M07,6116
1957M08,6160
1957M09,6219
1957M10,6114
1957M11,5661
1957M12,5989
1958M01,6198
1958M02,5857
1958M03,7027
1958M04,6869
1958M05,6706
1958M06,6394
1958M07,6005
1958M08,5584
1958M09,6001
1958M10,5984
1958M11,5789
1958M12,6267
1959M01,6092
1959M02,5880
1959M03,6988
1959M04,6544
1959M05,6455
1959M06,6105
1959M07,6196
1959M08,5982
1959M09,6174
1959M10,6033
1959M11,5645
1959M12,5834
1960M01,5787
1960M02,6240
1960M03,6947
1960M04,6677
1960M05,6807
1960M06,6367
1960M07,6503
1960M08,6307
1960M09,6417
1960M10,6206
1960M11,5880
1960M12,5939
1961M01,6197
1961M02,5946
1961M03,6947
1961M04,6665
1961M05,6698
1961M06,6254
1961M07,6400
1961M08,6376
1961M09,6415
1961M10,6244
1961M11,6036
1961M12,6261
1962M01,6291
1962M02,6304
1962M03,7150
1962M04,6950
1962M05,7016
1962M06,6577
1962M07,6525
1962M08,6533
1962M09,6460
1962M10,6066
1962M11,5893
1962M12,6043
1963M01,6442
1963M02,6155
1963M03,7684
1963M04,7362
1963M05,7353
1963M06,6938
1963M07,6897
1963M08,6873
1963M09,6959
1963M10,6848
1963M11,6499
1963M12,6403
1964M01,6673
1964M02,6779
1964M03,7603
1964M04,7467
1964M05,7092
1964M06,6847
1964M07,7032
1964M08,6789
1964M09,7027
1964M10,6802
1964M11,6379
1964M12,6866
1965M01,6871
1965M02,6555
1965M03,7641
1965M04,7648
1965M05,7374
1965M06,7229
1965M07,7363
1965M08,7258
1965M09,7217
1965M10,6942
1965M11,6754
1965M12,6944
1966M01,7044
1966M02,6704
1966M03,8017
1966M04,8022
1966M05,7778
1966M06,7223
1966M07,7517
1966M08,7402
1966M09,7442
1966M10,7489
1966M11,6875
1966M12,6819
1967M01,6955
1967M02,6664
1967M03,7631
1967M04,7473
1967M05,7350
1967M06,6758
1967M07,6890
1967M08,6651
1967M09,6535
1967M10,6462
1967M11,5928
1967M12,6113
1968M01,6075
1968M02,6101
1968M03,7043
1968M04,7036
1968M05,6801
1968M06,6300
1968M07,6076
1968M08,6081
1968M09,6012
1968M10,5841
1968M11,5564
1968M12,5613
1969M01,6033
1969M02,5515
1969M03,6621
1969M04,6476
1969M05,6431
1969M06,5996
1969M07,5977
1969M08,5861
1969M09,5934
1969M10,5808
1969M11,5347
1969M12,5299
1970M01,5499
1970M02,5303
1970M03,6418
1970M04,6570
1970M05,6330
1970M06,6079
1970M07,6073
1970M08,6045
1970M09,5846
1970M10,5454
1970M11,5576
1970M12,5609
