Population by municipalities 1901-1990 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1901 1 November,1910 1 December,1920 1 December,1930 2 December,1940 2 December,1950 1 December,1960 1 December,1970 1 December,1980 1 December,1990 1 December,,Latitude,Longitude
"Seltjarnarneshreppur (1923, 1932, 1943, 1948, 1974):",,,,,,,,,,,,,
Hreppurinn f_r kaupsta_arr_ttindi.  L_g nr. 16 9. aprÍl 1974.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Mosfellshreppur/-b_r (1923, 1929, 1943, 1953, 1987):",,,,,,,,,,,,,
Hreppurinn ver_ur b_r.  Augl_sing nr. 371 31. jìlÍ 1987.   gildi 9. ,,,,,,,,,,,,,
ˆgìst 1987.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"KeflavÍk (1949, 1966):",,,,,,,,,,,,,
Berg Í Ger_ahreppi lagt til KeflavÍkur.  L_g nr. 51 13. maÍ 1966.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"GrindavÍkurhreppur (1936, 1974):",,,,,,,,,,,,,
Hreppurinn f_r kaupsta_arr_ttindi.  L_g nr. 18 10. aprÍl 1974.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Hafnahreppur:,,,,,,,,,,,,,
Land ìr Nesjahreppi lagt undir Hafnarhrepp.  L_g nr. 49 6. maÍ 1966. ,,,,,,,,,,,,,
Hreppurinn ver_ur b_r.  Augl_sing nr. 537 15. desember 1988.   gildi ,,,,,,,,,,,,,
31. desember 1988.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Mi_neshreppur:,,,,,,,,,,,,,
Hreppurinn ver_ur b_r og nefnist Sandger_i.  Augl_sing nr. 454 15. ,,,,,,,,,,,,,
n„vember 1990.   gildi 3. desember 1990.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Rosmhvalaneshreppur (1908):,,,,,,,,,,,,,
"Rosmhvalaneshreppur, a_ frˆskilinni j_r_inni KeflavÍk, ver_ur ",,,,,,,,,,,,,
Ger_ahreppur.  Njar_vÍkurhreppur og KeflavÍk sameinast Í ,,,,,,,,,,,,,
KeflavÍkurhreppi.  Stj„rnarrˆ_sbr_f nr. 65 15. jìnÍ 1908.   gildi ,,,,,,,,,,,,,
14. maÍ 1908.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"KeflavÍkurhreppur (1908, 1942, 1949):",,,,,,,,,,,,,
Hreppnum skipt og Njar_vÍkurhreppur stofna_ur ìr hluta hans.  ,,,,,,,,,,,,,
Stj„rnarrˆ_sbr_f nr. 2 22. janìar 1942.   gildi 1. janìar 1942. ,,,,,,,,,,,,,
Hreppurinn f_r kaupsta_arr_ttindi.  L_g nr. 17 22. mars 1949.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Njar_vÍkurhreppur (1908, 1942, 1975):",,,,,,,,,,,,,
Hreppurinn f_r kaupsta_arr_ttindi.  L_g nr. 86 24. desember 1975.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Gar_ahreppur (1908, 1936, 1959, 1964, 1971, 1974):",,,,,,,,,,,,,
Hreppurinn skilinn frˆ Gullbringus_slu og lag_ur til Kj„sars_slu.  ,,,,,,,,,,,,,
L_g nr. 43 24. aprÍl 1973.   gildi 1. janìar 1974.Hreppurinn f_r ,,,,,,,,,,,,,
kaupsta_arr_ttindi og nefnist Gar_ab_r.  L_g nr. 83 24. desember ,,,,,,,,,,,,,
1975.   gildi 1. janìar 1976.   ,,,,,,,,,,,,,
   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Akranes (1942, 1964):",,,,,,,,,,,,,
Land ìr Innri-Akraneshreppi lagt undir Akranes.  L_g nr. 45 23. maÍ   ,,,,,,,,,,,,,
1964,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"ÓlafsvÍk (1983, 1990):",,,,,,,,,,,,,
Fr„_ˆrhreppur sameina_ur ÓlafsvÍk.  Augl_sing nr. 133 16. mars 1990.  ,,,,,,,,,,,,,
 gildi 1. aprÍl 1990.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Hvalfjar_arstrandarhreppur (1955):,,,,,,,,,,,,,
J_r_in Grafardalur Í Skorradalshreppi l_g_ undir ,,,,,,,,,,,,,
Hvalfjar_arstrandarhrepp.  Stj„rnarrˆ_sbr_f nr. 41 22. mars 1955.   ,,,,,,,,,,,,,
gildi 1. aprÍl 1955.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Ytri-Akraneshreppur (1942):,,,,,,,,,,,,,
Hreppurinn f_r kaupsta_arr_ttindi og nefnist Akranes.  L_g nr. 45 27. ,,,,,,,,,,,,,
jìnÍ 1941.   gildi 1. janìar 1942.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Borgarhreppur (1913):,,,,,,,,,,,,,
Hreppnum skipt og Borgarneshreppur stofna_ur ìr hluta hans.  ,,,,,,,,,,,,,
Stj„rnarrˆ_sbr_f nr. 62 26. mars 1913.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Borgarnes (1913, 1987):",,,,,,,,,,,,,
Hreppurinn ver_ur b_r.  Augl_sing nr. 468 14. okt„ber 1987.   gildi ,,,,,,,,,,,,,
24. okt„ber 1987.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Neshreppur innan Ennis (1911):,,,,,,,,,,,,,
Hreppnum skipt Í ÓlafsvÍkurhrepp og Fr„_ˆrhrepp.  Stj„rnarrˆ_sbr_f ,,,,,,,,,,,,,
nr. 69 12. aprÍl 1911.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"ÓlafsvÍkurhreppur (1911, 1983):",,,,,,,,,,,,,
Hreppurinn f_r kaupsta_arr_ttindi.  L_g nr. 34 23. mars 1983.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sk„garstrandarhreppur:,,,,,,,,,,,,,
Hreppurinn ver_ur b_r.  Augl_sing nr. 213 18. maÍ 1987.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Skar_sstrandarhreppur (1918):,,,,,,,,,,,,,
Hreppnum skipt Í Klofningshrepp og Skar_shrepp.  Stj„rnarrˆ_sbr_f nr. ,,,,,,,,,,,,,
84 13. jìlÍ 1918.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Klofningshreppur (1918, 1986):",,,,,,,,,,,,,
"Hreppnum skipt, jar_irnar Ballarˆ og Melar lag_ar til Skar_shrepps en ",,,,,,,,,,,,,
a_rar jar_ir til Fellsstrandarhrepps.  Augl_sing nr. 370 30. jìlÍ ,,,,,,,,,,,,,
1986.   gildi 1. september 1986.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"safj_r_ur (1866, 1918, 1971):",,,,,,,,,,,,,
J_r_in Seljaland Í Eyrarhreppi l_g_ til safjar_ar.  L_g nr. 67 14. ,,,,,,,,,,,,,
n„vember 1917.   gildi 1. janìar 1918. Eyrarhreppur sameina_ur ,,,,,,,,,,,,,
safir_i.  Augl_sing nr. 176 20. ˆgìst 1971.   gildi 3. okt„ber   ,,,,,,,,,,,,,
1971,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Reykh„lahreppur (1987):,,,,,,,,,,,,,
"Geiradalshreppur, Gufudalshreppur, Mìlahreppur og Flateyjarhreppur ",,,,,,,,,,,,,
sameina_ir Reykh„lahreppi.  Augl_sing nr. 221 15. maÍ 1987.   gildi ,,,,,,,,,,,,,
4. jìlÍ 1987.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Rau_asandshreppur (1907):,,,,,,,,,,,,,
Hreppnum skipt og Patrekshreppur stofna_ur ìr hluta hans.  ,,,,,,,,,,,,,
Stj„rnarrˆ_sbr_f nr. 46 20. aprÍl 1907.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BÍldudalshreppur (1987):,,,,,,,,,,,,,
Hreppurinn ver_ur til _egar Ketildalahreppur er sameina_ur ,,,,,,,,,,,,,
Su_urfjar_ahreppi.  Augl_sing nr. 302 23. jìnÍ 1987.   gildi 1. jìlÍ ,,,,,,,,,,,,,
1987,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
_ingeyrarhreppur (1990):,,,,,,,,,,,,,
Au_kìluhreppur sameina_ur _ingeyrarhreppi.  Augl_sing nr. 120 2. mars ,,,,,,,,,,,,,
1990.   gildi 1. aprÍl 1990.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Mosvallahreppur (1922):,,,,,,,,,,,,,
Hreppnum skipt og Flateyrarhreppur stofna_ur ìr hluta hans.  ,,,,,,,,,,,,,
Stj„rnarrˆ_sbr_f nr. 56 6. maÍ 1922.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
H„lshreppur (1974):,,,,,,,,,,,,,
Hreppurinn f_r kaupsta_arr_ttindi og nefnist BolungarvÍk.  L_g nr. 17 ,,,,,,,,,,,,,
10. aprÍl 1974.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sn_fjallahreppur (1964):,,,,,,,,,,,,,
GrunnavÍkurhreppur sameina_ur Sn_fjallahreppi.  Stj„rnarrˆ_sbr_f nr. ,,,,,,,,,,,,,
236 30. desember 1963.   gildi 1. janìar 1964.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sl_ttuhreppur (1953):,,,,,,,,,,,,,
Hreppurinn leggst Í au_n en r_ttarsta_a hans h_lst „viss _ar til ,,,,,,,,,,,,,
Sl_ttuhreppur var lag_ur til safjar_ar ˆri_ 1995.   L_g nr. 131 14. ,,,,,,,,,,,,,
desember 1995.  Sjˆ einnig augl_singu nr. 112 13. febrìar 1996.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Hr„fbergshreppur (1943, 1987):",,,,,,,,,,,,,
Hreppnum skipt og H„lmavÍkurhreppur stofna_ur ìr hluta hans.  ,,,,,,,,,,,,,
Stj„rnarrˆ_sbr_f nr. 70 19. maÍ 1943.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"H„lmavÍkurhreppur (1943, 1987):",,,,,,,,,,,,,
Hr„fbergshreppur sameina_ur H„lmavÍkurhreppi.  Augl_sing nr. 440 24. ,,,,,,,,,,,,,
okt„ber 1986.   gildi 1. janìar 1987.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sau_ˆrkr„kur (1947):,,,,,,,,,,,,,
Hreppurinn f_r kaupsta_arr_ttindi.  L_g nr. 57 24. maÍ 1947.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Kirkjuhvammshreppur (1938):,,,,,,,,,,,,,
Hreppnum skipt og Hvammstangahreppur stofna_ur ìr hluta hans.  ,,,,,,,,,,,,,
Stj„rnarrˆ_sbr_f nr. 12 22. jìnÍ 1938.   gildi 1. jìlÍ 1938.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Torfal_kjarhreppur (1914):,,,,,,,,,,,,,
Hreppnum skipt og Bl_ndu„shreppur stofna_ur ìr hluta hans.  ,,,,,,,,,,,,,
Stj„rnarrˆ_sbr_f nr. 59 27. maÍ 1914.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Bl_ndu„s (1914, 1936, 1988):",,,,,,,,,,,,,
Bl_ndu„skauptìn nor_an Bl_ndu skili_ frˆ EngihlÍ_arhreppi og sameina_ ,,,,,,,,,,,,,
Bl_ndu„shreppi.  L_g nr. 15 1. febrìar 1936. Hreppurinn ver_ur b_r.  ,,,,,,,,,,,,,
Augl_sing nr. 303 22. jìnÍ 1988.   gildi 4. jìlÍ 1988.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Vindh_lishreppur (1939):,,,,,,,,,,,,,
Hreppnum skipt og H_f_ahreppur og Skagahreppur stofna_ir ìr hluta ,,,,,,,,,,,,,
hans.  Stj„rnarrˆ_sbr_f nr. 87 22. n„vember 1938.   gildi 1. janìar  ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
1939,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sau_ˆrhreppur (1907):,,,,,,,,,,,,,
Hreppnum skipt Í Skar_shrepp og Sau_ˆrkr„kshrepp.  Stj„rnarrˆ_sbr_f ,,,,,,,,,,,,,
nr. 39 19. aprÍl 1907.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Hofshreppur (1948, 1990):",,,,,,,,,,,,,
Hreppnum skipt og Hofs„shreppur stofna_ur ìr hluta hans.  ,,,,,,,,,,,,,
Stj„rnarrˆ_sbr_f nr. 101 15. okt„ber 1948.   gildi 1. janìar 1948. ,,,,,,,,,,,,,
Hofs„shreppur og Fellshreppur sameina_ir Hofshreppi.  Augl_sing nr. ,,,,,,,,,,,,,
131 16. mars 1990.   gildi 10. jìnÍ 1990.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Flj„tahreppur (1988):,,,,,,,,,,,,,
Hreppurinn ver_ur til vi_ sameiningu Haganeshrepps og Holtshrepps.  ,,,,,,,,,,,,,
Augl_sing nr. 126 24. febrìar 1988.   gildi 1. aprÍl 1988.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Akureyri (1862, 1909, 1920, 1955):",,,,,,,,,,,,,
J_r_in Naust Í Hrafnagilshreppi l_g_ undir Akureyri.  L_g nr. 28 9. ,,,,,,,,,,,,,
jìlÍ 1909.   gildi 6. jìnÍ 1909. Jar_irnar Kjarni og Hamrar Í ,,,,,,,,,,,,,
Hrafnagilshreppi lag_ar til Akureyrar.  L_g nr. 17 18. maÍ 1920.   ,,,,,,,,,,,,,
gildi 6. jìnÍ 1920.   ,,,,,,,,,,,,,
"Glerˆr_orp Í Gl_sib_jarhreppi ˆsamt j_r_unum Bandager_i, ",,,,,,,,,,,,,
"Rangˆrv_llum, Kolluger_i, HlÍ_arenda, Glerˆ, L_gmannshlÍ_, ",,,,,,,,,,,,,
"Hesjuv_llum, KÍfsˆ, Hrappst__um, M_rarl„ni, Gr_nh„li, ",,,,,,,,,,,,,
Sy_ra-Krossanesi og Ytra-Krossanesi lag_ar til Akureyrar.    ,,,,,,,,,,,,,
L_g nr. 107 18. desember 1954.   gildi 1. janìar 1955.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"HìsavÍk (1950, 1954):",,,,,,,,,,,,,
J_r_in Kaldbakur Í Reykjahreppi l_g_ undir HìsavÍk.  L_g nr. 52 20. ,,,,,,,,,,,,,
aprÍl 1954.   gildi 1. maÍ 1954.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Hvanneyrarhreppur (1919):,,,,,,,,,,,,,
Hreppurinn tilheyr_i Eyjafjar_ars_slu til ˆrsins 1919 en f_kk _ˆ ,,,,,,,,,,,,,
kaupsta_arr_ttindi og nefndist Siglufj_r_ur.  L_g nr. 30 22. n„vember ,,,,,,,,,,,,,
1918.   gildi 20. maÍ 1919.  Siglufj_r_ur heyrir undir Nor_urland ,,,,,,,,,,,,,
vestra.,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Ólafsfjar_arhreppur (1917, 1945):",,,,,,,,,,,,,
Til ˆrsins 1917 var heiti hreppsins _„roddssta_ahreppur en f_kk _ˆ ,,,,,,,,,,,,,
"n_tt heiti, Ólafsfjar_arhreppur.  Stj„rnarrˆ_sbr_f nr. 103 26. ",,,,,,,,,,,,,
okt„ber 1917. Hreppurinn f_r kaupsta_arr_ttindi.  L_g nr. 60 31. ,,,,,,,,,,,,,
okt„ber 1944.   gildi 1. janìar 1945.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Svarfa_ardalshreppur (1946):,,,,,,,,,,,,,
Hreppnum skipt og DalvÍkurhreppur stofna_ur ìr hluta hans.  L_g nr. ,,,,,,,,,,,,,
203 19. desember 1945.   gildi 1. janìar 1946.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"DalvÍkurhreppur (1946, 1974):",,,,,,,,,,,,,
Hreppurinn f_r kaupsta_arr_ttindi.  L_g nr. 20 10. aprÍl 1974.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"rsk„gshreppur (1911, 1930):",,,,,,,,,,,,,
Hreppnum skipt og HrÍseyjarhreppur stofna_ur ìr hluta hans.  ,,,,,,,,,,,,,
Stj„rnarrˆ_sbr_f nr. 52 24. maÍ 1930.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Arnarneshreppur (1911, 1916):",,,,,,,,,,,,,
Hreppnum skipt og rsk„gshreppur stofna_ur ìr hluta hans.  ,,,,,,,,,,,,,
Stj„rnarrˆ_sbr_f nr. 78 24. maÍ 1911. J_r_in Dunhagakot Í ,,,,,,,,,,,,,
Skri_uhreppi l_g_ undir Arnarneshrepp.  Stj„rnarrˆ_sbr_f nr. 112  21. ,,,,,,,,,,,,,
n„vember 1916.   gildi 6. jìnÍ 1916.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Skri_uhreppur (1910, 1916):",,,,,,,,,,,,,
Hreppnum skipt og ƒxnadalshreppur stofna_ur ìr hluta hans.  ,,,,,,,,,,,,,
Stj„rnarrˆ_sbr_f nr. 113 25. ˆgìst 1910.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Hˆlshreppur (1907, 1972):",,,,,,,,,,,,,
Hreppnum skipt og Flateyjardalshreppur stofna_ur ìr hluta hans.  N_i ,,,,,,,,,,,,,
hreppurinn hefur _vinlega nefnst Flateyjarhreppur Í sk_rslum ,,,,,,,,,,,,,
Hagstofunnar.  Stj„rnarrˆ_sbr_f nr. 2 18. janìar 1907. ,,,,,,,,,,,,,
Flateyjarhreppur sameina_ur Hˆlshreppi.  Augl_sing nr. 46 23. febrìar ,,,,,,,,,,,,,
1972.   gildi 1. mars 1972.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Lj„savatnshreppur (1907):,,,,,,,,,,,,,
Hreppnum skipt og Bˆr_d_lahreppur stofna_ur ìr hluta hans.  ,,,,,,,,,,,,,
Stj„rnarrˆ_sbr_f nr. 38 16. aprÍl 1907.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"HìsavÍkurhreppur (1912, 1922, 1950):",,,,,,,,,,,,,
Hreppnum skipt og Tj_rneshreppur stofna_ur ìr hluta hans.  ,,,,,,,,,,,,,
Stj„rnarrˆ_sbr_f nr. 72 4. jìnÍ 1912. J_r_in Bakki me_ Tr_llakoti Í ,,,,,,,,,,,,,
Tj_rneshreppi l_g_ til HìsavÍkur.  L_g nr. 26 19. jìnÍ 1922.   gildi ,,,,,,,,,,,,,
1. jìnÍ 1922. Hreppurinn f_r kaupsta_arr_ttindi.  L_g nr. 109 30. ,,,,,,,,,,,,,
desember 1949.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Tj_rneshreppur (1912, 1922, 1933):",,,,,,,,,,,,,
Hreppnum skipt og Reykjahreppur stofna_ur ìr hluta hans.  ,,,,,,,,,,,,,
Stj„rnarrˆ_sbr_f nr. 49 14. jìnÍ 1932.   gildi 1. janìar 1933.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Presth„lahreppur (1945):,,,,,,,,,,,,,
Hreppnum skipt og Raufarhafnarhreppur stofna_ur ìr hluta hans.  ,,,,,,,,,,,,,
Stj„rnarrˆ_sbr_f nr. 107 18. september 1944.   gildi 1. janìar 1945. ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sau_aneshreppur (1946):,,,,,,,,,,,,,
Hreppnum skipt og _„rshafnarhreppur stofna_ur ìr hluta hans.  ,,,,,,,,,,,,,
Stj„rnarrˆ_sbr_f nr. 74 20. jìnÍ 1946.   gildi 1. janìar 1946.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Neskaupsta_ur (1929, 1943, 1949):",,,,,,,,,,,,,
Hluti jar_arinnar Ormssta_a Í Nor_fjar_arhreppi lag_ur til ,,,,,,,,,,,,,
Neskaupsta_ar.  L_g nr. 28 18. febrìar 1943.   gildi 1. aprÍl 1943. ,,,,,,,,,,,,,
Landspilda sì er liggur milli Naustal_kjar a_ austan og Ormssta_a a_ ,,,,,,,,,,,,,
vestan Í Nor_fjar_arhreppi l_g_ til Neskaupsta_ar.  L_g nr. 38 23. ,,,,,,,,,,,,,
maÍ 1949.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Eskifj_r_ur (1974, 1988):",,,,,,,,,,,,,
Helgusta_ahreppur sameina_ur Eskifir_i.  Augl_sing nr. 595 24. ,,,,,,,,,,,,,
desember 1987.   gildi 1. janìar 1988.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Borgarfjar_arhreppur (1973):,,,,,,,,,,,,,
Lo_mundarfjar_arhreppur sameina_ur Borgarfjar_arhreppi.  L_g nr. 40 ,,,,,,,,,,,,,
24. maÍ 1972.   gildi 1. janìar 1973.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sey_isfjar_arhreppur (1990):,,,,,,,,,,,,,
Sey_isfjar_arhreppur sameina_ur Sey_isfir_i.  Augl_sing nr. 134 16. ,,,,,,,,,,,,,
mars 1990.   gildi 1. aprÍl 1990.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Egilssta_ir (1947, 1987):",,,,,,,,,,,,,
"Jar_irnar Egilssta_ir, Kollsta_ir og Kollsta_ager_i Í Vallahreppi og ",,,,,,,,,,,,,
"jar_irnar Eyvindarˆ, Mi_hìs og Dalhìs ˆsamt ey_ib_linu _urÍ_arst__um ",,,,,,,,,,,,,
Í Ei_ahreppi mynda Egilssta_ahrepp.  L_g nr. 58 24. maÍ 1947.   ,,,,,,,,,,,,,
gildi 1. jìlÍ 1947. Hreppurinn ver_ur b_r.  Augl_sing nr. 214 18. maÍ ,,,,,,,,,,,,,
1987.   gildi 24. maÍ 1987.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Neshreppur (1913, 1929):",,,,,,,,,,,,,
Hreppurinn f_r kaupsta_arr_ttindi og nefnist Neskaupsta_ur.  L_g nr. ,,,,,,,,,,,,,
48 7. maÍ 1928.   gildi 1. janìar 1929.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Nor_fjar_arhreppur (1913, 1943, 1949):",,,,,,,,,,,,,
Hreppnum skipt og Neshreppur stofna_ur ìr hluta hans.  ,,,,,,,,,,,,,
Stj„rnarrˆ_sbr_f nr. 78 10. jìnÍ 1913.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Eskifjar_arhreppur (1907, 1969, 1974):",,,,,,,,,,,,,
Land ìr Rey_arfjar_arhreppi milli Bleiksˆr og H„lmahˆls lagt til ,,,,,,,,,,,,,
Eskifjar_arhrepps.  L_g nr. 56 25. aprÍl 1968.   gildi 1. janìar ,,,,,,,,,,,,,
1969. Hreppurinn f_r kaupsta_arr_ttindi.  L_g nr. 19 10. aprÍl 1974.  ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Rey_arfjar_arhreppur (1907, 1969):",,,,,,,,,,,,,
Hreppnum skipt og Helgusta_ahreppur og Eskifjar_arhreppur stofna_ir ,,,,,,,,,,,,,
ìr hluta hans.  Helgusta_ahreppur n_r frˆ m_rkum Nor_fjar_arhrepps a_ ,,,,,,,,,,,,,
Ytri-Mj„eyrarvÍk og Eskifjar_arhreppur _a_an a_ Bleiksˆ.  ,,,,,,,,,,,,,
Stj„rnarrˆ_sbr_f nr. 49 25. maÍ 1907.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fˆskrì_sfjar_arhreppur (1907):,,,,,,,,,,,,,
Hreppnum skipt og Bì_ahreppur stofna_ur ìr hluta hans.  ,,,,,,,,,,,,,
Stj„rnarrˆ_sbr_f nr. 48 22. maÍ 1907.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Brei_dalshreppur (1905):,,,,,,,,,,,,,
Hreppnum skipt og St__varhreppur stofna_ur ìr hluta hans.  ,,,,,,,,,,,,,
Stj„rnarrˆ_sbr_f nr. 126 21. desember 1905.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Geithellnahreppur (1940):,,,,,,,,,,,,,
Hreppnum skipt og Bìlandshreppur stofna_ur ìr hluta hans.  ,,,,,,,,,,,,,
Stj„rnarrˆ_sbr_f nr. 7 20. mars 1940.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Nesjahreppur (1946, 1966):",,,,,,,,,,,,,
Hreppnum skipt og Hafnarhreppur stofna_ur ìr hluta hans.  ,,,,,,,,,,,,,
Stj„rnarrˆ_sbr_f nr. 59 12. aprÍl 1946.   gildi 1. janìar 1946.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Vestmannaeyjar (1919):,,,,,,,,,,,,,
Vestmannaeyjahreppur f_r kaupsta_arr_ttindi.  L_g nr. 26 22. n„vember ,,,,,,,,,,,,,
1918.   gildi 1. janìar 1919.  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Skaftˆrhreppur (1990):,,,,,,,,,,,,,
